FID,the_geom,DELEGACION,MUNICIPIO,LOCALIDAD,DOM_UPP,NOM_UPP,SIST_TEC,SIST_SEMI,POLLO_ENG,HUEVO_PLA,CAP_INST,CAP_UTIL,NUM_NAVES,SUP_MT,VALIDADO,ESTATUS,PROD_LECH,ENGORDA,CICLO_COM,CAB_VIENT,CAB_LECH,CAB_CREC,CAB_FIN,CAB_SEM,TOTAL_ANIM,RAZA_PRINC,TIPO,FECHA,class
granjas_peninsula.249,POINT (-89.602898443108 20.47567222685666),Yucatán,Sacalum,,,,,,,,,,18,,,,,,,,,,,,,,Granjas porcinas,2000,2
granjas_peninsula.250,POINT (-89.6733990332035 20.500876085438186),Yucatán,Muna,,,,,,,,,,21,,,,,,,,,,,,,,Granjas porcinas,2005,2
granjas_peninsula.251,POINT (-89.70937117532632 20.68044860785993),Yucatán,Abalá,,,,,,,,,,9,,,,,,,,,,,,,,Granjas porcinas,2010,3
granjas_peninsula.252,POINT (-89.82199685126045 20.747975934285815),Yucatán,Chocholá,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.253,POINT (-89.89250953584055 20.899422634950557),Yucatán,Samahil,,,,,,,,,,24,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.254,POINT (-89.94164751692493 20.951915532932606),Yucatán,Tetiz,,,,,,,,,,16,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.255,POINT (-89.952037860505 20.972710183821594),Yucatán,Tetiz,,,,,,,,,,24,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.256,POINT (-89.9489657929759 20.968752739223355),Yucatán,Tetiz,,,,,,,,,,12,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.257,POINT (-89.95847150978057 20.96801680818243),Yucatán,Tetiz,,,,,,,,,,6,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.258,POINT (-89.90155440743203 21.05877806529315),Yucatán,Hunucmá,,,,,,,,,,48,,,,,,,,,,,,,,Granjas avicolas,2000,1
granjas_peninsula.259,POINT (-89.69495923722556 21.099013323409235),Yucatán,Mérida,,,,,,,,,,20,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.260,POINT (-89.48090285002752 20.892454637203056),Yucatán,Acanceh,,,,,,,,,,11,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.261,POINT (-87.5517279354061 20.8781616230153),Quintana Roo,Lázaro Cárdenas,,,,,,,,,,15,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.262,POINT (-88.97528107730443 20.394608750270987),Yucatán,Cantamayec,,,,,,,,,,40,,,,,,,,,,,,,,Granjas avicolas,2000,1
granjas_peninsula.263,POINT (-88.97635967366402 20.409027239353748),Yucatán,Cantamayec,,,,,,,,,,40,,,,,,,,,,,,,,Granjas avicolas,2000,1
granjas_peninsula.264,POINT (-87.49439659601836 20.887772325341107),Quintana Roo,Lázaro Cárdenas,,,,,,,,,,15,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.265,POINT (-89.20043733949244 20.887935449516622),Yucatán,Hoctún,,,,,,,,,,40,,,,,,,,,,,,,,Granjas avicolas,2000,1
granjas_peninsula.266,POINT (-89.6958485009852 20.95611114845137),Yucatán,Mérida,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.267,POINT (-88.49305135960027 18.68075456114566),Quintana Roo,Bacalar,,,,,,,,,,15,,,,,,,,,,,,,,Granjas porcinas,2015,2
granjas_peninsula.268,POINT (-88.48741018765348 18.69790615524254),Quintana Roo,Bacalar,,,,,,,,,,45,,,,,,,,,,,,,,Granjas porcinas,2015,1
granjas_peninsula.269,POINT (-88.49252818639553 18.673255580032038),Quintana Roo,Bacalar,,,,,,,,,,24,,,,,,,,,,,,,,Granjas porcinas,2015,2
granjas_peninsula.270,POINT (-88.49625863881195 18.662265094659396),Quintana Roo,Bacalar,,,,,,,,,,14,,,,,,,,,,,,,,Granjas porcinas,2015,2
granjas_peninsula.271,POINT (-88.50995212877959 18.658170418030455),Quintana Roo,Bacalar,,,,,,,,,,40,,,,,,,,,,,,,,Granjas porcinas,2015,1
granjas_peninsula.272,POINT (-89.54283915437647 20.439747052675564),Yucatán,Ticul,,,,,,,,,,7,,,,,,,,,,,,,,Granjas porcinas,2015,3
granjas_peninsula.273,POINT (-89.16418542123827 20.14786276732944),Yucatán,Tekax,,,,,,,,,,7,,,,,,,,,,,,,,Granjas avicolas,2017,3
granjas_peninsula.274,POINT (-89.17789510080476 20.14471655450372),Yucatán,Tekax,,,,,,,,,,7,,,,,,,,,,,,,,Granjas avicolas,2017,3
granjas_peninsula.275,POINT (-89.18011911549002 20.13819511156202),Yucatán,Tekax,,,,,,,,,,7,,,,,,,,,,,,,,Granjas avicolas,2017,3
granjas_peninsula.276,POINT (-89.81946240558563 20.74607922526781),Yucatán,Chocholá,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.277,POINT (-89.43550759634816 21.02364139901595),Yucatán,Tixkokob,,,,,,,,,,7,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.278,POINT (-89.29514332705297 21.029222234667234),Yucatán,Muxupip,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.279,POINT (-89.20465944191399 20.91534612801285),Yucatán,Hoctún,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.280,POINT (-89.22123292121216 20.939875363846102),Yucatán,Cacalchén,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.281,POINT (-89.21641930038659 20.95626389019381),Yucatán,Cacalchén,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.282,POINT (-89.1903709092102 20.846232934954582),Yucatán,Xocchel,,,,,,,,,,18,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.283,POINT (-89.01357697471131 21.026172351650516),Yucatán,Tepakán,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.284,POINT (-89.068293829159 21.012692401111963),Yucatán,Tekantó,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.285,POINT (-89.90434055507946 20.599189309497106),Yucatán,Opichén,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2015,3
granjas_peninsula.286,POINT (-88.93219302945617 20.944648981734538),Yucatán,Izamal,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2015,3
granjas_peninsula.287,POINT (-88.93501444410828 20.873047903824865),Yucatán,Sudzal,,,,,,,,,,9,,,,,,,,,,,,,,Granjas porcinas,2015,3
granjas_peninsula.288,POINT (-89.03588001792134 20.811522790870026),Yucatán,Kantunil,,,,,,,,,,12,,,,,,,,,,,,,,Granjas porcinas,2015,3
